epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,102.444,2.10191,1.48649,1.04398,0.41848,0.32082,0.29219,0.0906,2.54624,1.59282,1.05341,0.0011882,0.0011882,0.0011882
43,104.795,2.20931,1.44799,1.01528,0.39043,0.27873,0.24782,0.07453,2.70285,1.69637,1.07404,0.0011684,0.0011684,0.0011684
44,107.007,2.15198,1.39615,1.00237,0.44403,0.32709,0.3137,0.10641,2.50844,1.59364,1.05939,0.0011486,0.0011486,0.0011486
45,109.713,2.16841,1.49131,1.01831,0.43094,0.3067,0.29773,0.09404,2.57071,1.62394,1.06101,0.0011288,0.0011288,0.0011288
46,114.351,2.11675,1.42467,1.00621,0.42253,0.35381,0.31432,0.10759,2.46156,1.58116,1.04685,0.001109,0.001109,0.001109
47,118.139,2.18603,1.47129,1.02806,0.46842,0.32196,0.32735,0.10893,2.45887,1.58665,1.03797,0.0010892,0.0010892,0.0010892
48,122.424,2.00616,1.41621,1.03711,0.47556,0.33321,0.32706,0.10181,2.53904,1.62566,1.07086,0.0010694,0.0010694,0.0010694
49,126.074,2.14236,1.43651,1.03596,0.47509,0.36405,0.34609,0.11453,2.45108,1.54549,1.04164,0.0010496,0.0010496,0.0010496
50,128.467,2.03312,1.35036,1.01554,0.46518,0.36711,0.35109,0.12321,2.37927,1.54482,1.0335,0.0010298,0.0010298,0.0010298
51,130.696,2.12021,1.43652,1.00623,0.45197,0.33561,0.32517,0.10354,2.4796,1.59106,1.03902,0.00101,0.00101,0.00101
52,132.899,2.08058,1.40484,1.04096,0.48641,0.34926,0.33355,0.11135,2.45275,1.56667,1.03865,0.0009902,0.0009902,0.0009902
53,135.075,2.11351,1.42497,0.99403,0.49308,0.32196,0.3239,0.10999,2.4552,1.56439,1.04128,0.0009704,0.0009704,0.0009704
54,137.261,2.1344,1.43078,1.04173,0.40889,0.27873,0.28352,0.08982,2.62677,1.79531,1.05541,0.0009506,0.0009506,0.0009506
55,139.443,2.06468,1.3625,0.99176,0.49963,0.34079,0.34312,0.11766,2.43875,1.53944,1.03822,0.0009308,0.0009308,0.0009308
56,141.649,2.06472,1.30148,0.97847,0.40741,0.33561,0.29652,0.09075,2.55462,1.65769,1.03864,0.000911,0.000911,0.000911
57,143.967,2.16648,1.47544,1.00612,0.35946,0.31627,0.27217,0.09057,2.50423,1.62743,1.04038,0.0008912,0.0008912,0.0008912
58,146.166,2.0747,1.3671,0.99581,0.43237,0.32309,0.31318,0.10928,2.41736,1.60555,1.03757,0.0008714,0.0008714,0.0008714
59,148.388,2.0066,1.32517,1.00442,0.46807,0.32878,0.33305,0.11406,2.43092,1.57718,1.03686,0.0008516,0.0008516,0.0008516
60,150.589,2.13715,1.4327,0.99832,0.46427,0.34471,0.33633,0.11368,2.44264,1.53874,1.03777,0.0008318,0.0008318,0.0008318
61,152.751,2.028,1.35021,1.00541,0.44003,0.35154,0.33212,0.10946,2.44353,1.50297,1.03965,0.000812,0.000812,0.000812
62,154.82,2.00064,1.30264,0.9873,0.45426,0.33712,0.32716,0.10608,2.49216,1.51916,1.04799,0.0007922,0.0007922,0.0007922
63,156.898,2.04986,1.32308,0.97093,0.47792,0.32388,0.33244,0.10723,2.484,1.55222,1.04291,0.0007724,0.0007724,0.0007724
64,159.325,1.98398,1.28048,0.97171,0.50157,0.34357,0.34845,0.11706,2.44849,1.54833,1.04026,0.0007526,0.0007526,0.0007526
65,164.419,1.94216,1.25806,0.96974,0.45827,0.37201,0.35937,0.11919,2.44804,1.49513,1.03701,0.0007328,0.0007328,0.0007328
